"Bug编号","相关需求","Bug标题","严重程度","优先级","Bug类型","解决者","解决方案","重复ID"
"16718","","[规则管理][NGPM230901RC1][已知应用]选中多项规则之后，点击已知应用中多项禁用按钮，提示禁用失败","2","3","代码错误","徐阳","重复Bug","[规则管理][22.06.6.1][修改多项配置]优化禁用操作(14027)",""
"14027","","[规则管理][22.06.6.1][修改多项配置]优化禁用操作","3","3","代码错误","徐阳","已解决","0",""
"17263","","[流量分析][NGPM230901RC1]长连接分析]过滤IP不生效","3","3","代码错误","徐阳","已解决","0",""
"18288","[主版][POC] 银联云-前台需求：智溯支持周期对比(#5826)","[农发行][灵动智溯][(NF)23.03.1.1(RC1)]探针/分析组-周期对比-自定义选择此刻，显示时间有误","3","3","代码错误","徐阳","已解决","0",""
"18284","[主版][POC] 银联云-前台需求：智溯支持周期对比(#5826)"," [农发行][灵动智溯][(NF)23.03.1.1(RC1)]探针/分析组，点击周期对比查看弹窗布局，自定义问号的提示语优化","5","3","代码错误","徐阳","已解决","0",""
"18283","[主版][POC] 银联云-前台需求：智溯支持周期对比(#5826)"," [农发行][灵动智溯][(NF)23.03.1.1(RC1)]探针/分析组，点击周期对比查看弹窗布局，与设计图显示不一致","4","3","代码错误","徐阳","已解决","0",""
"18252",""," [实时流量][银河证券][P 22.06.5.3(RC8))] 添加]添加实时流量中的会话图表,带小数点的掩码，进行添加，没有报错","4","4","代码错误","徐阳","已解决","0",""
"18256",""," [配置中心][银河证券][P 22.06.5.3(RC8))] [规则管理]规则页面的文字样式显示有错","4","4","代码错误","徐阳","已解决","0",""
"18230","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [新疆][(XJ)23.03.1.1(RC2)-2.0.RC2][离线分析]回放任务有两页时，在第一页添加回放任务，自动运行功能不生效","3","3","代码错误","徐阳","已解决","0",""
"18168","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [新疆][(XJ) 23.03.1.1(RC2)-2.0.RC2][离线分析]默认文件夹允许删除和编辑","3","3","代码错误","徐阳","已解决","0",""
"18142","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [新疆][(XJ)23.03.1.1(RC1)-2.0.RC1][离线分析]上传超过2G的文件时，上传失败","3","3","代码错误","徐阳","已解决","0",""
"18144","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [新疆][(XJ)23.03.1.1(RC1)-2.0.RC1][离线分析]上传文件时，进度到101%（不是必现）","3","3","代码错误","徐阳","已解决","0",""
"16837","","[监控中心][NGPM230901RC1][链路大屏] [优化建议] 实时更新支持显示分钟和秒的精度","5","3","其他","徐阳","已解决","0",""
"16483",""," [全局搜索[NGPM230901RC1][Tab切换]查询当前tab数据后，切换到另一个tab查询数据，再次切换tab，应该保留tab页的原始查询数据","3","2","代码错误","徐阳","已解决","0",""
"16857",""," [配置中心][NGPM230901RC1][用户管理]修改密码时，新密码和旧密码提示信息优化","4","2","代码错误","徐阳","已解决","0",""
"17530",""," [配置中心][NGPM230901RC1][安全管理]添加/修改可疑会话时，提示内容不正确","4","2","代码错误","徐阳","已解决","0",""
"17533","","[配置中心][NGPM230901RC1][安全管理]添加/修改可疑会话时，源端口和目的端口没有做限制","3","2","代码错误","徐阳","已解决","0",""
"13947","","[规则管理][22.06.6.1][规则管理]优化规则管理界面","4","3","代码错误","徐阳","已解决","0",""
"17926",""," [实时流量][银河证券]P 22.06.5.3(RC6))] [对象图表]规则选上2个后,再取消选中1个,发现规则下拉框收不回去了","3","3","代码错误","徐阳","已解决","0",""
"17520","","[配置中心][NGPM230901RC1][打分管理]添加/修改模板/分档模板时，模板名称过长时提示不正确","4","3","代码错误","徐阳","已解决","0",""
"17501",""," [配置中心][NGPM230901RC1][打分管理]添加打分时，设置应用系统健康度，没有选择指标，添加时没有提示","3","3","代码错误","徐阳","已解决","0",""
"17091","","[灵动智溯][NGPM230901RC1][实时更新]增加自定义指标，实时更新自动关闭","3","2","代码错误","徐阳","已解决","0",""
"17896","","[实时流量][银河证券]P 22.06.5.3(RC6))] [源IP]实时流量IP支持输入网段的掩码格式有错，不能超过32","3","3","代码错误","徐阳","已解决","0",""
"18061","[新版流量] 新疆-前台需求：文件目录上传(#5871)","[灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]回放任务中存在文件管理中的数据时，删除文件管理中的包，没有提示","3","3","代码错误","徐阳","已解决","0",""
"18070","[新版流量] 新疆-前台需求：文件目录上传(#5871)","[灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]编辑回放任务时，自动运行不生效","3","3","代码错误","徐阳","已解决","0",""
"18065","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]文件上传不支持5vw数据包","2","3","代码错误","徐阳","已解决","0",""
"17064","","[实时流量][NGPM230901RC1]配置信息中，“源IP“改成“IP“","3","3","代码错误","徐阳","已解决","0",""
"17503",""," [配置中心][NGPM230901RC1][打分管理]添加/编辑打分时，提示不正确","4","3","代码错误","徐阳","不予解决","0",""
"18052","[新版流量] 新疆-前台需求：文件目录上传(#5871)","[灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]文件管理中，上传大文件时，进度条优化","5","3","代码错误","徐阳","不予解决","0",""
"18054","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]文件管理中，查看文件时，平均字节/秒单位显示错误","3","3","代码错误","徐阳","已解决","0",""
"18058","[新版流量] 新疆-前台需求：文件目录上传(#5871)","[灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]修改数据来源名称不生效","3","3","代码错误","徐阳","已解决","0",""
"18064","[新版流量] 新疆-前台需求：文件目录上传(#5871)"," [灵动智溯][新疆][23.03.1.1(RC9)-NGPM 2.0.RC9][离线分析]分析任务进度条优化","4","3","代码错误","徐阳","已解决","0",""
